ID,Accession,Target,Biosample term name,Software used,Genome
/annotations/ENCSR459JGD/,ENCSR459JGD,CTCF,CD14-positive monocyte,chromimpute,hg19
/annotations/ENCSR072RNC/,ENCSR072RNC,CTCF,CD14-positive monocyte,chromimpute,hg19
/annotations/ENCSR670NGH/,ENCSR670NGH,CTCF,CD14-positive monocyte,chromimpute,hg19
/annotations/ENCSR672TSQ/,ENCSR672TSQ,CTCF,CD14-positive monocyte,chromimpute,hg19
/annotations/ENCSR057NTO/,ENCSR057NTO,CTCF,CD1c-positive myeloid dendritic cell,chromimpute,hg19
/annotations/ENCSR952IMO/,ENCSR952IMO,CTCF,"CD4-positive, alpha-beta memory T cell",chromimpute,hg19
/annotations/ENCSR774KJV/,ENCSR774KJV,CTCF,"CD4-positive, alpha-beta memory T cell",chromimpute,hg19
/annotations/ENCSR015TSZ/,ENCSR015TSZ,CTCF,"CD4-positive, alpha-beta T cell",chromimpute,hg19
/annotations/ENCSR314KEM/,ENCSR314KEM,CTCF,"CD4-positive, alpha-beta T cell",chromimpute,hg19
/annotations/ENCSR975OYR/,ENCSR975OYR,CTCF,"CD4-positive, alpha-beta T cell",chromimpute,hg19
/annotations/ENCSR974MOR/,ENCSR974MOR,CTCF,"CD4-positive, alpha-beta T cell",chromimpute,hg19
/annotations/ENCSR996GUL/,ENCSR996GUL,CTCF,"CD4-positive, alpha-beta T cell",chromimpute,hg19
/annotations/ENCSR226JIG/,ENCSR226JIG,CTCF,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",chromimpute,hg19
/annotations/ENCSR227FPX/,ENCSR227FPX,CTCF,"CD8-positive, alpha-beta memory T cell",chromimpute,hg19
/annotations/ENCSR534KTX/,ENCSR534KTX,CTCF,"CD8-positive, alpha-beta T cell",chromimpute,hg19
/annotations/ENCSR278CIZ/,ENCSR278CIZ,CTCF,"CD8-positive, alpha-beta T cell",chromimpute,hg19
/annotations/ENCSR048HID/,ENCSR048HID,CTCF,"CD8-positive, alpha-beta T cell",chromimpute,hg19
/annotations/ENCSR518LAF/,ENCSR518LAF,CTCF,"CD8-positive, alpha-beta T cell",chromimpute,hg19
/annotations/ENCSR876FZG/,ENCSR876FZG,CTCF,"CD8-positive, alpha-beta T cell",chromimpute,hg19
/annotations/ENCSR925LXN/,ENCSR925LXN,CTCF,"CD8-positive, alpha-beta T cell",chromimpute,hg19
/annotations/ENCSR198JRC/,ENCSR198JRC,CTCF,"common myeloid progenitor, CD34-positive",chromimpute,hg19
