ID,Accession,Target,Biosample term name,Software used,Genome
/annotations/ENCSR048BGN/,ENCSR048BGN,BHLHE40,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR023YCR/,ENCSR023YCR,BHLHE40,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR869ZRN/,ENCSR869ZRN,BHLHE40,T-cell,avocado,GRCh38
/annotations/ENCSR148YFX/,ENCSR148YFX,BHLHE40,T-helper 17 cell,avocado,GRCh38
/annotations/ENCSR066VMG/,ENCSR066VMG,CEBPB,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR101DRY/,ENCSR101DRY,CEBPB,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR395FZG/,ENCSR395FZG,CEBPB,"CD4-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR908VVL/,ENCSR908VVL,CEBPB,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR379CVN/,ENCSR379CVN,CEBPB,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR745SIQ/,ENCSR745SIQ,CEBPB,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",avocado,GRCh38
/annotations/ENCSR569OPE/,ENCSR569OPE,CEBPB,"CD8-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR343IBX/,ENCSR343IBX,CEBPB,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR484WIL/,ENCSR484WIL,CEBPB,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR903EFS/,ENCSR903EFS,CEBPB,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR567XOE/,ENCSR567XOE,CEBPB,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR824QWW/,ENCSR824QWW,CEBPB,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR721AQB/,ENCSR721AQB,CEBPB,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR065LTY/,ENCSR065LTY,CEBPB,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR014OJV/,ENCSR014OJV,CEBPB,"effector memory CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR540BCE/,ENCSR540BCE,CEBPB,"naive thymus-derived CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR165TBE/,ENCSR165TBE,CEBPB,natural killer cell,avocado,GRCh38
/annotations/ENCSR115WFC/,ENCSR115WFC,CEBPB,neutrophil,avocado,GRCh38
/annotations/ENCSR067CIY/,ENCSR067CIY,CEBPB,neutrophil,avocado,GRCh38
/annotations/ENCSR005TXZ/,ENCSR005TXZ,CEBPB,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR594PEK/,ENCSR594PEK,CEBPB,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR056ALK/,ENCSR056ALK,CEBPB,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR190FKN/,ENCSR190FKN,CEBPB,T-cell,avocado,GRCh38
/annotations/ENCSR290MGK/,ENCSR290MGK,CEBPB,T-helper 17 cell,avocado,GRCh38
/annotations/ENCSR714QGY/,ENCSR714QGY,CHD2,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR103FYC/,ENCSR103FYC,CHD2,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR030DIN/,ENCSR030DIN,CHD2,"CD4-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR848FLP/,ENCSR848FLP,CHD2,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR151OXK/,ENCSR151OXK,CHD2,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR256PZA/,ENCSR256PZA,CHD2,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",avocado,GRCh38
/annotations/ENCSR021RJQ/,ENCSR021RJQ,CHD2,"CD8-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR939ZYE/,ENCSR939ZYE,CHD2,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR780UQX/,ENCSR780UQX,CHD2,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR501ZMA/,ENCSR501ZMA,CHD2,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR864JHG/,ENCSR864JHG,CHD2,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR030AAY/,ENCSR030AAY,CHD2,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR827GAN/,ENCSR827GAN,CHD2,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR489UCI/,ENCSR489UCI,CHD2,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR012AVR/,ENCSR012AVR,CHD2,"effector memory CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR575BTN/,ENCSR575BTN,CHD2,"naive thymus-derived CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR027AYK/,ENCSR027AYK,CHD2,natural killer cell,avocado,GRCh38
/annotations/ENCSR128IYI/,ENCSR128IYI,CHD2,neutrophil,avocado,GRCh38
/annotations/ENCSR026XLV/,ENCSR026XLV,CHD2,neutrophil,avocado,GRCh38
/annotations/ENCSR020YSP/,ENCSR020YSP,CHD2,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR420VRR/,ENCSR420VRR,CHD2,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR972OBK/,ENCSR972OBK,CHD2,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR357WOV/,ENCSR357WOV,CHD2,T-cell,avocado,GRCh38
/annotations/ENCSR838BNM/,ENCSR838BNM,CHD2,T-helper 17 cell,avocado,GRCh38
/annotations/ENCSR502DIT/,ENCSR502DIT,CTCF,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR708MGI/,ENCSR708MGI,CTCF,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR134RMI/,ENCSR134RMI,CTCF,"CD4-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR755PJF/,ENCSR755PJF,CTCF,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR268VZS/,ENCSR268VZS,CTCF,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR295GVC/,ENCSR295GVC,CTCF,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",avocado,GRCh38
/annotations/ENCSR096OAV/,ENCSR096OAV,CTCF,"CD8-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR739MAE/,ENCSR739MAE,CTCF,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR291RHP/,ENCSR291RHP,CTCF,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR051ZHO/,ENCSR051ZHO,CTCF,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR588FKL/,ENCSR588FKL,CTCF,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR107MVI/,ENCSR107MVI,CTCF,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR141VRJ/,ENCSR141VRJ,CTCF,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR136MLR/,ENCSR136MLR,CTCF,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR973CMC/,ENCSR973CMC,CTCF,"effector memory CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR235VEH/,ENCSR235VEH,CTCF,"naive thymus-derived CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR999OSL/,ENCSR999OSL,CTCF,natural killer cell,avocado,GRCh38
/annotations/ENCSR082TOV/,ENCSR082TOV,CTCF,neutrophil,avocado,GRCh38
/annotations/ENCSR070YUE/,ENCSR070YUE,CTCF,neutrophil,avocado,GRCh38
/annotations/ENCSR872MSC/,ENCSR872MSC,CTCF,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR343GZL/,ENCSR343GZL,CTCF,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR903DWV/,ENCSR903DWV,CTCF,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR052QDH/,ENCSR052QDH,CTCF,T-cell,avocado,GRCh38
/annotations/ENCSR728CPI/,ENCSR728CPI,CTCF,T-helper 17 cell,avocado,GRCh38
/annotations/ENCSR047JYK/,ENCSR047JYK,EGR1,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR265HYT/,ENCSR265HYT,EGR1,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR335RHO/,ENCSR335RHO,EGR1,"CD4-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR863VIF/,ENCSR863VIF,EGR1,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR317OCX/,ENCSR317OCX,EGR1,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR672DZZ/,ENCSR672DZZ,EGR1,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",avocado,GRCh38
/annotations/ENCSR129NNH/,ENCSR129NNH,EGR1,"CD8-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR675TUT/,ENCSR675TUT,EGR1,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR988PUM/,ENCSR988PUM,EGR1,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR373XZP/,ENCSR373XZP,EGR1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR549ZVT/,ENCSR549ZVT,EGR1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR107PZB/,ENCSR107PZB,EGR1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR215XFL/,ENCSR215XFL,EGR1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR246ZOB/,ENCSR246ZOB,EGR1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR793ZIH/,ENCSR793ZIH,EGR1,"effector memory CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR417NUO/,ENCSR417NUO,EGR1,"naive thymus-derived CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR024EHS/,ENCSR024EHS,EGR1,natural killer cell,avocado,GRCh38
/annotations/ENCSR682WGD/,ENCSR682WGD,EGR1,neutrophil,avocado,GRCh38
/annotations/ENCSR327QNN/,ENCSR327QNN,EGR1,neutrophil,avocado,GRCh38
/annotations/ENCSR419DVR/,ENCSR419DVR,EGR1,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR394PAN/,ENCSR394PAN,EGR1,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR015JCV/,ENCSR015JCV,EGR1,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR615XCC/,ENCSR615XCC,EGR1,T-cell,avocado,GRCh38
/annotations/ENCSR382PCD/,ENCSR382PCD,EGR1,T-helper 17 cell,avocado,GRCh38
/annotations/ENCSR798MVJ/,ENCSR798MVJ,ELF1,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR019NQB/,ENCSR019NQB,ELF1,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR663LIM/,ENCSR663LIM,ELF1,"CD4-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR276GOW/,ENCSR276GOW,ELF1,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR961IAX/,ENCSR961IAX,ELF1,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR239QVR/,ENCSR239QVR,ELF1,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",avocado,GRCh38
/annotations/ENCSR274RPP/,ENCSR274RPP,ELF1,"CD8-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR637HZL/,ENCSR637HZL,ELF1,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR966DIR/,ENCSR966DIR,ELF1,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR312IPS/,ENCSR312IPS,ELF1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR771TYF/,ENCSR771TYF,ELF1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR410TEK/,ENCSR410TEK,ELF1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR165PFP/,ENCSR165PFP,ELF1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR049SIW/,ENCSR049SIW,ELF1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR005ZAA/,ENCSR005ZAA,ELF1,"effector memory CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR002DVV/,ENCSR002DVV,ELF1,"naive thymus-derived CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR536DZK/,ENCSR536DZK,ELF1,natural killer cell,avocado,GRCh38
/annotations/ENCSR970CLG/,ENCSR970CLG,ELF1,neutrophil,avocado,GRCh38
/annotations/ENCSR658ULL/,ENCSR658ULL,ELF1,neutrophil,avocado,GRCh38
/annotations/ENCSR553PBR/,ENCSR553PBR,ELF1,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR133DAQ/,ENCSR133DAQ,ELF1,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR860DNJ/,ENCSR860DNJ,ELF1,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR279JJF/,ENCSR279JJF,ELF1,T-cell,avocado,GRCh38
/annotations/ENCSR388FXU/,ENCSR388FXU,ELF1,T-helper 17 cell,avocado,GRCh38
/annotations/ENCSR591AIN/,ENCSR591AIN,ELK1,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR925VMN/,ENCSR925VMN,ELK1,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR049LES/,ENCSR049LES,ELK1,"CD4-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR419AEA/,ENCSR419AEA,ELK1,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR191DSK/,ENCSR191DSK,ELK1,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR670HBW/,ENCSR670HBW,ELK1,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",avocado,GRCh38
/annotations/ENCSR341KWI/,ENCSR341KWI,ELK1,"CD8-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR993SCB/,ENCSR993SCB,ELK1,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR061BCN/,ENCSR061BCN,ELK1,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR470VUS/,ENCSR470VUS,ELK1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR992OUA/,ENCSR992OUA,ELK1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR679SIJ/,ENCSR679SIJ,ELK1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR977GPL/,ENCSR977GPL,ELK1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR279QWV/,ENCSR279QWV,ELK1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR546UOG/,ENCSR546UOG,ELK1,"effector memory CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR538YMZ/,ENCSR538YMZ,ELK1,"naive thymus-derived CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR027AYZ/,ENCSR027AYZ,ELK1,natural killer cell,avocado,GRCh38
/annotations/ENCSR815HRT/,ENCSR815HRT,ELK1,neutrophil,avocado,GRCh38
/annotations/ENCSR741GBT/,ENCSR741GBT,ELK1,neutrophil,avocado,GRCh38
/annotations/ENCSR147RZE/,ENCSR147RZE,ELK1,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR531PSR/,ENCSR531PSR,ELK1,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR125GUD/,ENCSR125GUD,ELK1,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR999UCP/,ENCSR999UCP,ELK1,T-cell,avocado,GRCh38
/annotations/ENCSR279DGD/,ENCSR279DGD,ELK1,T-helper 17 cell,avocado,GRCh38
/annotations/ENCSR235KCK/,ENCSR235KCK,EP300,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR105UAO/,ENCSR105UAO,EP300,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR067WFC/,ENCSR067WFC,EP300,"CD4-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR556LKF/,ENCSR556LKF,EP300,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR767IBV/,ENCSR767IBV,EP300,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR584ACW/,ENCSR584ACW,EP300,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",avocado,GRCh38
/annotations/ENCSR680ACY/,ENCSR680ACY,EP300,"CD8-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR550IHC/,ENCSR550IHC,EP300,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR804RUG/,ENCSR804RUG,EP300,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR871BNX/,ENCSR871BNX,EP300,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR057EIN/,ENCSR057EIN,EP300,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR527OGG/,ENCSR527OGG,EP300,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR144UXO/,ENCSR144UXO,EP300,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR749FNB/,ENCSR749FNB,EP300,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR890ZIZ/,ENCSR890ZIZ,EP300,"effector memory CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR850TKC/,ENCSR850TKC,EP300,"naive thymus-derived CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR622FRR/,ENCSR622FRR,EP300,natural killer cell,avocado,GRCh38
/annotations/ENCSR812UMM/,ENCSR812UMM,EP300,neutrophil,avocado,GRCh38
/annotations/ENCSR242JIT/,ENCSR242JIT,EP300,neutrophil,avocado,GRCh38
/annotations/ENCSR617OXP/,ENCSR617OXP,EP300,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR953UGI/,ENCSR953UGI,EP300,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR091WBA/,ENCSR091WBA,EP300,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR395OMC/,ENCSR395OMC,EP300,T-cell,avocado,GRCh38
/annotations/ENCSR691XNH/,ENCSR691XNH,EP300,T-helper 17 cell,avocado,GRCh38
/annotations/ENCSR602AII/,ENCSR602AII,ETS1,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR605QHP/,ENCSR605QHP,ETS1,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR383LIF/,ENCSR383LIF,ETS1,"CD4-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR892BTV/,ENCSR892BTV,ETS1,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR744LWV/,ENCSR744LWV,ETS1,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR966IVH/,ENCSR966IVH,ETS1,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",avocado,GRCh38
/annotations/ENCSR076SYI/,ENCSR076SYI,ETS1,"CD8-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR872UMV/,ENCSR872UMV,ETS1,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR480ZNT/,ENCSR480ZNT,ETS1,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR219NLV/,ENCSR219NLV,ETS1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR823FDN/,ENCSR823FDN,ETS1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR371PZO/,ENCSR371PZO,ETS1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR167ZPE/,ENCSR167ZPE,ETS1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR582UUP/,ENCSR582UUP,ETS1,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR547MMI/,ENCSR547MMI,ETS1,"effector memory CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR525XLB/,ENCSR525XLB,ETS1,"naive thymus-derived CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR564YKK/,ENCSR564YKK,ETS1,natural killer cell,avocado,GRCh38
/annotations/ENCSR537GQI/,ENCSR537GQI,ETS1,neutrophil,avocado,GRCh38
/annotations/ENCSR893XQU/,ENCSR893XQU,ETS1,neutrophil,avocado,GRCh38
/annotations/ENCSR842CRV/,ENCSR842CRV,ETS1,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR370FSM/,ENCSR370FSM,ETS1,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR926HQX/,ENCSR926HQX,ETS1,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR971TKP/,ENCSR971TKP,ETS1,T-cell,avocado,GRCh38
/annotations/ENCSR113JMC/,ENCSR113JMC,ETS1,T-helper 17 cell,avocado,GRCh38
/annotations/ENCSR587KBU/,ENCSR587KBU,EZH2,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR858EIK/,ENCSR858EIK,EZH2,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR835VLW/,ENCSR835VLW,EZH2,"CD4-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR212GAI/,ENCSR212GAI,EZH2,"CD4-positive, alpha-beta T cell",avocado,GRCh38
