ID,Accession,Target,Biosample term name,Software used,Genome
/annotations/ENCSR719YJX/,ENCSR719YJX,ATF3,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR004FAB/,ENCSR004FAB,ATF3,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR895TBB/,ENCSR895TBB,ATF3,"CD4-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR838JMY/,ENCSR838JMY,ATF3,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR344FFN/,ENCSR344FFN,ATF3,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR442VQK/,ENCSR442VQK,ATF3,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",avocado,GRCh38
/annotations/ENCSR190FBH/,ENCSR190FBH,ATF3,"CD8-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR595WXN/,ENCSR595WXN,ATF3,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR655KNC/,ENCSR655KNC,ATF3,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR452CXD/,ENCSR452CXD,ATF3,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR291ZRR/,ENCSR291ZRR,ATF3,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR667PZF/,ENCSR667PZF,ATF3,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR553KXP/,ENCSR553KXP,ATF3,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR907OTB/,ENCSR907OTB,ATF3,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR989XGT/,ENCSR989XGT,ATF3,"effector memory CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR981EPY/,ENCSR981EPY,ATF3,"naive thymus-derived CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR307DYO/,ENCSR307DYO,ATF3,natural killer cell,avocado,GRCh38
/annotations/ENCSR424XOU/,ENCSR424XOU,ATF3,neutrophil,avocado,GRCh38
/annotations/ENCSR804CYA/,ENCSR804CYA,ATF3,neutrophil,avocado,GRCh38
/annotations/ENCSR134GHA/,ENCSR134GHA,ATF3,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR306NQE/,ENCSR306NQE,ATF3,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR461YTY/,ENCSR461YTY,ATF3,peripheral blood mononuclear cell,avocado,GRCh38
/annotations/ENCSR076KVQ/,ENCSR076KVQ,ATF3,T-cell,avocado,GRCh38
/annotations/ENCSR369HCG/,ENCSR369HCG,ATF3,T-helper 17 cell,avocado,GRCh38
/annotations/ENCSR680OBW/,ENCSR680OBW,BHLHE40,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR534SIE/,ENCSR534SIE,BHLHE40,CD14-positive monocyte,avocado,GRCh38
/annotations/ENCSR062AOK/,ENCSR062AOK,BHLHE40,"CD4-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR723EDO/,ENCSR723EDO,BHLHE40,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR302VUZ/,ENCSR302VUZ,BHLHE40,"CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR319LKN/,ENCSR319LKN,BHLHE40,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",avocado,GRCh38
/annotations/ENCSR237IVL/,ENCSR237IVL,BHLHE40,"CD8-positive, alpha-beta memory T cell",avocado,GRCh38
/annotations/ENCSR965ZUK/,ENCSR965ZUK,BHLHE40,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR013YWY/,ENCSR013YWY,BHLHE40,"CD8-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR321YRN/,ENCSR321YRN,BHLHE40,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR023EQD/,ENCSR023EQD,BHLHE40,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR430TEO/,ENCSR430TEO,BHLHE40,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR530ALD/,ENCSR530ALD,BHLHE40,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR561PAW/,ENCSR561PAW,BHLHE40,"common myeloid progenitor, CD34-positive",avocado,GRCh38
/annotations/ENCSR640GNW/,ENCSR640GNW,BHLHE40,"effector memory CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR204JGF/,ENCSR204JGF,BHLHE40,"naive thymus-derived CD4-positive, alpha-beta T cell",avocado,GRCh38
/annotations/ENCSR600MLO/,ENCSR600MLO,BHLHE40,natural killer cell,avocado,GRCh38
/annotations/ENCSR781EAH/,ENCSR781EAH,BHLHE40,neutrophil,avocado,GRCh38
/annotations/ENCSR260ZJU/,ENCSR260ZJU,BHLHE40,neutrophil,avocado,GRCh38
/annotations/ENCSR979FGZ/,ENCSR979FGZ,BHLHE40,peripheral blood mononuclear cell,avocado,GRCh38
